,ts,lse_humidite,tensiometre
12,2022-05-12 00:08:59,39.664,23.83
13,2022-05-12 00:28:59,39.64200000000001,23.9
14,2022-05-12 00:48:59,39.647999999999996,23.9
15,2022-05-12 01:08:59,39.642,23.9
16,2022-05-12 01:28:59,39.634,23.9
17,2022-05-12 01:48:59,39.628,23.9
18,2022-05-12 02:08:59,39.612,23.9
19,2022-05-12 02:28:59,39.604,23.9
20,2022-05-12 02:48:59,39.598,23.9
21,2022-05-12 03:08:59,39.594,23.9
22,2022-05-12 03:28:59,39.596,23.9
23,2022-05-12 03:48:59,39.6,23.9
24,2022-05-12 04:08:59,39.606,23.9
25,2022-05-12 04:28:59,39.61,23.9
26,2022-05-12 04:48:59,39.616,23.9
27,2022-05-12 05:08:59,39.622,23.9
28,2022-05-12 05:28:59,39.629999999999995,23.9
29,2022-05-12 05:48:59,39.63,23.9
30,2022-05-12 06:08:59,39.628,23.9
31,2022-05-12 06:28:59,39.622,23.9
32,2022-05-12 06:48:59,39.626,23.9
33,2022-05-12 07:08:59,39.624,23.8
34,2022-05-12 07:28:59,39.632,23.8
35,2022-05-12 07:48:59,39.64,23.8
36,2022-05-12 08:08:59,39.65,23.7
37,2022-05-12 08:28:59,39.664,23.7
38,2022-05-12 08:48:59,39.684,23.6
39,2022-05-12 09:08:59,39.70399999999999,23.5
40,2022-05-12 09:28:59,39.73,23.5
41,2022-05-12 09:48:59,39.754,23.3
42,2022-05-12 10:08:59,39.774,23.2
43,2022-05-12 10:28:59,39.790000000000006,23.1
44,2022-05-12 10:48:59,39.8,23.0
45,2022-05-12 11:08:59,39.796,22.9
46,2022-05-12 11:28:59,39.791999999999994,22.9
47,2022-05-12 11:48:59,39.773999999999994,22.8
48,2022-05-12 12:08:59,39.75599999999999,22.8
49,2022-05-12 12:28:59,39.742000000000004,22.8
50,2022-05-12 12:48:59,39.739999999999995,22.8
51,2022-05-12 13:08:59,39.760000000000005,22.8
52,2022-05-12 13:28:59,39.774,22.9
53,2022-05-12 13:48:59,39.784,23.1
54,2022-05-12 14:08:59,39.766,23.2
55,2022-05-12 14:28:59,39.744,23.3
56,2022-05-12 14:48:59,39.7,23.6
57,2022-05-12 15:08:59,39.656,23.7
58,2022-05-12 15:28:59,39.598,23.9
59,2022-05-12 15:48:59,39.56,24.1
60,2022-05-12 16:08:59,39.516000000000005,24.3
61,2022-05-12 16:28:59,39.458,24.4
62,2022-05-12 16:48:59,39.410000000000004,24.6
63,2022-05-12 17:08:59,39.372,24.7
64,2022-05-12 17:28:59,39.326,24.9
65,2022-05-12 17:48:59,39.282,25.1
66,2022-05-12 18:08:59,39.248000000000005,25.2
67,2022-05-12 18:28:59,39.206,25.3
68,2022-05-12 18:48:59,39.176,25.5
69,2022-05-12 19:08:59,39.146,25.6
70,2022-05-12 19:28:59,39.112,25.7
71,2022-05-12 19:48:59,39.076,25.9
72,2022-05-12 20:08:59,39.044,25.9
73,2022-05-12 20:28:59,39.006,26.0
74,2022-05-12 20:48:59,38.974000000000004,26.1
75,2022-05-12 21:08:59,38.94799999999999,26.2
76,2022-05-12 21:28:59,38.934000000000005,26.3
77,2022-05-12 21:48:59,38.928,26.4
78,2022-05-12 22:08:59,38.91799999999999,26.4
79,2022-05-12 22:28:59,38.906,26.4
80,2022-05-12 22:48:59,38.902,26.5
81,2022-05-12 23:08:59,38.882,26.6
82,2022-05-12 23:28:59,38.868,26.6
83,2022-05-12 23:48:59,38.866,26.7
84,2022-05-13 00:08:59,38.879999999999995,26.7
85,2022-05-13 00:28:59,38.886,26.7
86,2022-05-13 00:48:59,38.896,26.7
87,2022-05-13 01:08:59,38.906,26.8
88,2022-05-13 01:28:59,38.906,26.8
89,2022-05-13 01:48:59,38.89,26.8
90,2022-05-13 02:08:59,38.874,26.8
91,2022-05-13 02:28:59,38.884,26.8
92,2022-05-13 02:48:59,38.870000000000005,26.8
93,2022-05-13 03:08:59,38.866,26.8
94,2022-05-13 03:28:59,38.866,26.8
